RepeatID,rDNAdel.ESC134_L1_rep1__fsp_ht2.ce10_sbl_sSR.bam,rDNAdel.ESC134_L1_rep2__fsp_ht2.ce10_sbl_sSR.bam,rDNAdel.ESC190_L1_rep1__fsp_ht2.ce10_sbl_sSR.bam,rDNAdel.ESC190_L1_rep2__fsp_ht2.ce10_sbl_sSR.bam,rDNAdel.ESC190_L1_rep3__fsp_ht2.ce10_sbl_sSR.bam,rDNAdel.ESC190_L1_rep4__fsp_ht2.ce10_sbl_sSR.bam,rpoa.2.degron_auxin.0mM_18hr_rep1__fsp_ht2.ce10_sbl_sSR.bam,rpoa.2.degron_auxin.0mM_18hr_rep2__fsp_ht2.ce10_sbl_sSR.bam,rpoa.2.degron_auxin.0mM_24hr_rep1__fsp_ht2.ce10_sbl_sSR.bam,rpoa.2.degron_auxin.0mM_24hr_rep2__fsp_ht2.ce10_sbl_sSR.bam,rpoa.2.degron_auxin.0mM_24hr_rep3__fsp_ht2.ce10_sbl_sSR.bam,rpoa.2.degron_eft3p.TIR1_auxin.1mM_24hr_rep1__fsp_ht2.ce10_sbl_sSR.bam,rpoa.2.degron_eft3p.TIR1_auxin.1mM_24hr_rep2__fsp_ht2.ce10_sbl_sSR.bam,rpoa.2.degron_eft3p.TIR1_auxin.1mM_24hr_rep3__fsp_ht2.ce10_sbl_sSR.bam,wt.N2_L1_rep1__fsp_ht2.ce10_sbl_sSR.bam,wt.N2_L1_rep2__fsp_ht2.ce10_sbl_sSR.bam,wt.N2_L1_rep3__fsp_ht2.ce10_sbl_sSR.bam,wt.N2_L1_rep4__fsp_ht2.ce10_sbl_sSR.bam
PALTTTAAA3_dup30,0,0,0.18,0,0,0.38,0,5,0,0,0,0,0.4,2,0,0,0,0.93
AT_rich_dup1903,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
CELE2_dup158,0,0,0,0,0,11,0,0,1,0,0,0,3,2,0,58,0,0
AT_rich_dup1904,0,0,0,0,3,5,3,0,0,0,0,0,0,2,0,0,0,0
AT_rich_dup1905,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CELE1_dup326,0,0,0,0,24,1,0,0,0,0,1,0,0,2,83,0,0,0
CELE42_dup295,0,0,0,0,26,0,0,1,0,0,0,0,0,0,0,0,0,0
AT_rich_dup1906,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
AT_rich_dup1907,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
(TTA)n_dup6,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
AT_rich_dup1908,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
AT_rich_dup1909,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CELE2_dup159,0,0,0,0,0,3,0,0,1,0,0,1,3,4,0,0,0,0
CELE1_dup327,0,0,0,0,36,1,0,0,0,0,1,0,4,1,0,0,0,0
AT_rich_dup1910,0,0,0,0,0,2,0,0,0,0,6,0,0,0,0,0,0,11
NPALTA1_CE_dup20,0,0,0,0,0,6,0,0,0,0.67,0,1,0,0,0,0,0,11
CELE2_dup160,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
